股票代码,形态,买入日期,买入价,股数,买入金额,卖出日期,卖出价,卖出原因,盈亏,收益率
600585.SH,黑三鸦,2024-09-12,20.00,500,10000.00,2024-09-25,22.00,止盈(10.0%),1000.00,10.00%
000709.SZ,黑三鸦,2024-09-13,1.68,5900,9912.00,2024-09-25,1.85,跳空止盈(10.0%),1003.00,10.12%
000338.SZ,黑三鸦,2024-09-19,12.05,800,9640.00,2024-09-25,13.26,止盈(10.0%),964.00,10.00%
002493.SZ,黑三鸦,2024-09-19,8.16,1200,9792.00,2024-09-25,8.98,止盈(10.0%),979.20,10.00%
601888.SH,黑三鸦,2024-09-12,55.20,100,5520.00,2024-09-26,60.72,止盈(10.0%),552.00,10.00%
000733.SZ,黑三鸦,2024-09-20,33.11,300,9933.00,2024-09-26,36.42,止盈(10.0%),993.30,10.00%
002511.SZ,黑三鸦,2024-09-20,6.18,1600,9888.00,2024-09-26,6.80,止盈(10.0%),988.80,10.00%
300003.SZ,黑三鸦,2024-09-20,9.20,1000,9200.00,2024-09-26,10.12,止盈(10.0%),920.00,10.00%
603986.SH,黑三鸦,2024-09-20,65.67,100,6567.00,2024-09-26,72.24,止盈(10.0%),656.70,10.00%
601111.SH,黑三鸦,2024-09-23,6.27,1500,9405.00,2024-09-26,6.90,止盈(10.0%),940.50,10.00%
600795.SH,黑三鸦,2024-09-11,5.00,2000,10000.00,2024-09-27,5.11,持仓10天到期,220.00,2.20%
601006.SH,黑三鸦,2024-09-13,5.95,1600,9520.00,2024-09-27,6.57,跳空止盈(10.0%),992.00,10.42%
688981.SH,黑三鸦,2024-09-19,43.28,200,8656.00,2024-09-27,47.61,止盈(10.0%),865.60,10.00%
600161.SH,黑三鸦,2024-09-20,20.90,400,8360.00,2024-09-27,22.99,止盈(10.0%),836.00,10.00%
600372.SH,黑三鸦,2024-09-20,10.56,900,9504.00,2024-09-27,11.62,止盈(10.0%),950.40,10.00%
600703.SH,黑三鸦,2024-09-20,9.81,1000,9810.00,2024-09-27,10.88,跳空止盈(10.0%),1070.00,10.91%
600233.SH,黑三鸦,2024-11-26,14.45,600,8670.00,2024-12-10,14.58,持仓10天到期,78.00,0.90%
600025.SH,黑三鸦,2024-11-28,9.46,1000,9460.00,2024-12-12,9.67,持仓10天到期,210.00,2.22%
600795.SH,黑三鸦,2024-11-28,4.59,2100,9639.00,2024-12-12,4.72,持仓10天到期,273.00,2.83%
000877.SZ,黑三鸦,2025-01-07,5.38,1800,9684.00,2025-01-09,5.00,止损(7.0%),-677.88,-7.00%
